subject,trial_index,trialIndex,sentence,image,trialType,isMatch,rt_sent,rt_img,hit,list,time_elapsed,correct_response,response
0zhjr0hs,6,104,"<div style=""font-size: 30px;"">There was a deck in the boardgame.</div>","<img src=""Images/church.jpg""/>",filler,,1327,769,true,list_2,62626,n,n
0zhjr0hs,9,29,"<div style=""font-size: 30px;"">There was paint in the drawing.</div>","<img src=""Images/paintstroke.jpg""/>",experimental,y,1018,625,true,list_2,65041,y,y
0zhjr0hs,12,57,"<div style=""font-size: 30px;"">There was chicken in the oven.</div>","<img src=""Images/chickenoven.jpg""/>",experimental,y,844,782,true,list_2,67436,y,y
0zhjr0hs,15,6,"<div style=""font-size: 30px;"">There was a book on the shelf.</div>","<img src=""Images/bookdown.jpg""/>",experimental,n,754,690,true,list_2,69640,y,y
0zhjr0hs,18,67,"<div style=""font-size: 30px;"">There was a hill in the village.</div>","<img src=""Images/scissors.jpg""/>",filler,,484,508,true,list_2,71397,n,n
0zhjr0hs,21,99,"<div style=""font-size: 30px;"">There was a plug by the door.</div>","<img src=""Images/bat.jpg""/>",filler,,424,504,true,list_2,73099,n,n
0zhjr0hs,24,87,"<div style=""font-size: 30px;"">There was a blueberry in the cereal.</div>","<img src=""Images/cushion.jpg""/>",filler,,484,545,true,list_2,74894,n,n
0zhjr0hs,27,48,"<div style=""font-size: 30px;"">There was ketchup on the table.</div>","<img src=""Images/ketchupbottle.jpg""/>",experimental,y,387,530,true,list_2,76587,y,y
0zhjr0hs,30,76,"<div style=""font-size: 30px;"">There was a kayak in the river.</div>","<img src=""Images/lamppost.jpg""/>",filler,,586,542,true,list_2,78492,n,n
0zhjr0hs,33,22,"<div style=""font-size: 30px;"">There was a hose on the lawn.</div>","<img src=""Images/hoselawn.jpg""/>",experimental,y,381,1002,true,list_2,80640,y,y
0zhjr0hs,36,108,"<div style=""font-size: 30px;"">There was a cap on the head.</div>","<img src=""Images/car.jpg""/>",filler,,504,507,true,list_2,82415,n,n
0zhjr0hs,39,21,"<div style=""font-size: 30px;"">There was a lime in the Corona bottle.</div>","<img src=""Images/limewedge.jpg""/>",experimental,y,365,452,true,list_2,84002,y,y
0zhjr0hs,42,96,"<div style=""font-size: 30px;"">There was a bicycle in the driveway.</div>","<img src=""Images/acorn.jpg""/>",filler,,532,522,true,list_2,85821,n,n
0zhjr0hs,45,24,"<div style=""font-size: 30px;"">There was a scarf on the floor.</div>","<img src=""Images/scarf.jpg""/>",experimental,y,430,1248,false,list_2,88258,y,n
0zhjr0hs,48,102,"<div style=""font-size: 30px;"">There was a cork in the bottle.</div>","<img src=""Images/clock.jpg""/>",filler,,429,612,true,list_2,90070,n,n
0zhjr0hs,51,70,"<div style=""font-size: 30px;"">There was a yard by the kindergarten.</div>","<img src=""Images/penguin.jpg""/>",filler,,254,595,true,list_2,91687,n,n
0zhjr0hs,54,64,"<div style=""font-size: 30px;"">There was a battery in the phone.</div>","<img src=""Images/screw.jpg""/>",filler,,451,538,true,list_2,93446,n,n
0zhjr0hs,57,83,"<div style=""font-size: 30px;"">There was a thumbtack on the board.</div>","<img src=""Images/mango.jpg""/>",filler,,313,821,true,list_2,95357,n,n
